@relation GesturePrediction

@attribute labels {click, twoFingerClick, panLeft, panRight, panUp, panDown, closedUp, up, stoped, closedStoped}
@attribute zeroFingerFramesRatio  numeric
@attribute oneFingerFramesRatio  numeric
@attribute twoFingerFramesRatio  numeric
@attribute threeFingerFramesRatio  numeric
@attribute fourFingerFramesRatio  numeric
@attribute fiveFingerFramesRatio  numeric
@attribute pitchAngleAverage  numeric
@attribute yawAngleAverage numeric
@attribute rollAngleAverage numeric
@attribute xAveragePalmVelocity numeric
@attribute yAveragePalmVelocity numeric
@attribute zAveragePalmVelocity numeric
@attribute rightMovementFramesRation numeric
@attribute leftMovementFramesRation numeric
@attribute upMovementFramesRation numeric
@attribute downMovementFramesRation numeric

@data
panLeft,0.0,0.0,0.0,0.0,0.013513513513513514,0.9864864864864865,0.492757046343507,-0.08352794346196665,-1.437404392538844,-239.0657131820917,-30.75536328478641,24.297052956110722,0.831081081081081,0.16216216216216217,0.7972972972972973,0.19594594594594594
panLeft,0.0,0.0,0.0,0.0,0.0,1.0,0.5762562775422656,-0.15518727888064904,0.05097963696434384,-210.06352174187464,-36.03980173821014,31.16863642112603,0.8809523809523809,0.11904761904761904,0.6746031746031746,0.3253968253968254
panRight,0.0,0.0,0.0,0.0,0.417910447761194,0.582089552238806,0.44109704690193063,-0.641534876356374,-2.160550263390612,186.3167762934272,-53.233911556761655,-31.352759982222942,0.291044776119403,0.7089552238805971,0.12686567164179105,0.8731343283582089
panRight,0.0,0.0,0.0,0.13385826771653545,0.4251968503937008,0.4409448818897638,0.6691986688478725,-0.7340514412311119,-2.2980548471916378,221.30978666891264,-52.81900292024838,-38.9991011697007,0.0,1.0,0.05511811023622047,0.9448818897637795
click,0.2421875,0.7578125,0.0,0.0,0.0,0.0,0.7689933693036437,-0.40763923712074757,-2.71666375733912,-4.969707469106652,-3.5346151338890195,-6.00664572972164,0.46875,0.53125,0.4453125,0.5546875
click,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.8170690791060528,-0.4448206111167868,-2.714175301293532,-8.454950259299949,-15.917516043409705,-16.542387363500893,0.71875,0.2708333333333333,0.07291666666666667,0.9166666666666666
twoFingerClick,0.02127659574468085,0.9787234042553191,0.0,0.0,0.0,0.0,0.5844937715917191,-0.5191623169056913,-2.381336587540647,-13.197180030550411,-37.73205259299659,-8.030475294494883,0.8404255319148937,0.1595744680851064,0.35106382978723405,0.648936170212766
panDown,0.0,0.0,0.24342105263157895,0.19078947368421054,0.08552631578947369,0.48026315789473684,0.8089472457374397,-0.37521337100157615,-2.7845911116976487,10.612233122124485,-147.30037326640203,-1.348427504693207,0.5526315789473685,0.4473684210526316,0.5328947368421053,0.46710526315789475
panDown,0.0,0.0,0.2980132450331126,0.026490066225165563,0.3576158940397351,0.31788079470198677,0.8048923828743941,-0.40101250492973833,-2.7650962081176558,28.24547397424251,-162.13008462287337,5.973119640981914,0.0728476821192053,0.9271523178807947,0.6622516556291391,0.33774834437086093
panDown,0.0,0.125,0.32608695652173914,0.043478260869565216,0.375,0.13043478260869565,0.8954663399768912,-0.41331181221682095,-2.812384723321251,19.023369892459847,-155.92457898787183,-11.93800075368389,0.17391304347826086,0.8260869565217391,0.358695652173913,0.6413043478260869
panUp,0.0,0.0,0.12987012987012986,0.8701298701298701,0.0,0.0,0.7675214227917907,-0.30334960640250863,-2.830562470795272,5.175097265232403,121.92313401661087,-11.222339172835474,0.42207792207792205,0.577922077922078,0.21428571428571427,0.7857142857142857
panUp,0.0,0.07926829268292683,0.2865853658536585,0.6341463414634146,0.0,0.0,0.6988526731729507,-0.23826599520881,-2.8495614703108623,14.327452669419893,133.47000437478604,-21.099517086452646,0.3048780487804878,0.6951219512195121,0.2073170731707317,0.7926829268292683
panLeft,0.0,0.0,0.0,0.0,0.5894039735099338,0.4105960264900662,0.5967694670948761,0.10821956750745608,1.15901577077954,-195.9420255398908,-27.124027087840417,17.236017787298618,0.7615894039735099,0.23841059602649006,0.5827814569536424,0.41721854304635764
panLeft,0.0,0.0,0.0,0.0,0.04132231404958678,0.9586776859504132,0.41942129056315774,-0.04605313872702974,0.5074769248647139,-258.1179996487523,-3.3007144207550474,26.39145623455363,0.9173553719008265,0.08264462809917356,0.5206611570247934,0.4793388429752066
panRight,0.109375,0.046875,0.015625,0.0078125,0.234375,0.5859375,0.3100541551830247,-0.5545960292220116,-2.049435243010521,188.61613680794835,-50.86172661278397,-30.88336189929396,0.0,0.9921875,0.1328125,0.859375
panRight,0.47474747474747475,0.030303030303030304,0.1111111111111111,0.1111111111111111,0.0707070707070707,0.20202020202020202,0.3112877422209942,-0.6365524662865533,-1.9988371206052375,309.2770466274685,-63.11105959885048,-44.742324042801904,0.0,1.0,0.12121212121212122,0.8787878787878788
panDown,0.0,0.0,0.02857142857142857,0.0,0.7285714285714285,0.24285714285714285,0.8556581744125911,-0.4887662259595735,-2.7015885727746145,6.590448418259621,-203.9064570256642,-3.515366910823754,0.38571428571428573,0.6142857142857143,0.5142857142857142,0.4857142857142857
panUp,0.0,0.0,0.05309734513274336,0.23008849557522124,0.22123893805309736,0.49557522123893805,0.9363355035275485,-0.48377876155144345,-2.7680214421939007,23.489079054477994,242.64803588077163,-18.05962019815909,0.10619469026548672,0.8938053097345132,0.1504424778761062,0.8495575221238938
click,0.30952380952380953,0.6904761904761905,0.0,0.0,0.0,0.0,0.6914656382231485,-0.1946889633933703,-2.909321052687509,-3.838991417771294,-9.870338715612888,-12.11384609962503,0.7023809523809523,0.2976190476190476,0.11904761904761904,0.8809523809523809
click,0.30851063829787234,0.6914893617021277,0.0,0.0,0.0,0.0,0.7319909701956079,-0.256298746992933,-2.8566344900334135,-5.287577009541875,-1.828851966940342,-4.066269912618272,0.7872340425531915,0.2127659574468085,0.22340425531914893,0.776595744680851
